
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
130                None         entropy               3                 70   
131                None         entropy               3                100   
132                None         entropy               4                  5   
133                None         entropy               4                 10   
134                None         entropy               4                 20   
135                None         entropy               4                 50   
136                None         entropy               4                 70   
137                None         entropy               4                100   
138                None         entropy               5                  5   
139                None         entropy               5                 10   
140                None         entropy               5                 20   
141                None         entropy               5                 50   
142                None         entropy               5                 70   
143                None         entropy               5                100   

                                                params  split0_test_accuracy  \
0    {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
1    {'class_weight': 'balanced', 'criterion': 'gin...              0.805195   
2    {'class_weight': 'balanced', 'criterion': 'gin...              0.792208   
3    {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
4    {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
5    {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
6    {'class_weight': 'balanced', 'criterion': 'gin...              0.792208   
7    {'class_weight': 'balanced', 'criterion': 'gin...              0.792208   
8    {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
9    {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
10   {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
11   {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
12   {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
13   {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
14   {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
15   {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
16   {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
17   {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
18   {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
19   {'class_weight': 'balanced', 'criterion': 'gin...              0.753247   
20   {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
21   {'class_weight': 'balanced', 'criterion': 'gin...              0.766234   
22   {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
23   {'class_weight': 'balanced', 'criterion': 'gin...              0.779221   
24   {'class_weight': 'balanced', 'criterion': 'ent...              0.753247   
25   {'class_weight': 'balanced', 'criterion': 'ent...              0.792208   
26   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
27   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
28   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
29   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
30   {'class_weight': 'balanced', 'criterion': 'ent...              0.792208   
31   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
32   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
33   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
34   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
35   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
36   {'class_weight': 'balanced', 'criterion': 'ent...              0.753247   
37   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
38   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
39   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
40   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
41   {'class_weight': 'balanced', 'criterion': 'ent...              0.753247   
42   {'class_weight': 'balanced', 'criterion': 'ent...              0.753247   
43   {'class_weight': 'balanced', 'criterion': 'ent...              0.753247   
44   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
45   {'class_weight': 'balanced', 'criterion': 'ent...              0.779221   
46   {'class_weight': 'balanced', 'criterion': 'ent...              0.766234   
47   {'class_weight': 'balanced', 'criterion': 'ent...              0.792208   
48   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
49   {'class_weight': 'balanced_subsample', 'criter...              0.805195   
50   {'class_weight': 'balanced_subsample', 'criter...              0.805195   
51   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
52   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
53   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
54   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
55   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
56   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
57   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
58   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
59   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
60   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
61   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
62   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
63   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
64   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
65   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
66   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
67   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
68   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
69   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
70   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
71   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
72   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
73   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
74   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
75   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
76   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
77   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
78   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
79   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
80   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
81   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
82   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
83   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
84   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
85   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
86   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
87   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
88   {'class_weight': 'balanced_subsample', 'criter...              0.779221   
89   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
90   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
91   {'class_weight': 'balanced_subsample', 'criter...              0.753247   
92   {'class_weight': 'balanced_subsample', 'criter...              0.792208   
93   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
94   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
95   {'class_weight': 'balanced_subsample', 'criter...              0.766234   
96   {'class_weight': None, 'criterion': 'gini', 'm...              0.818182   
97   {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
98   {'class_weight': None, 'criterion': 'gini', 'm...              0.818182   
99   {'class_weight': None, 'criterion': 'gini', 'm...              0.779221   
100  {'class_weight': None, 'criterion': 'gini', 'm...              0.792208   
101  {'class_weight': None, 'criterion': 'gini', 'm...              0.805195   
